Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
42,Faculdade Unifahe,111611124517986,14,False,11/11/2024,651,6385,False,https://www.facebook.com/100070536263464/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=111611124517986,2598559253874188,False
43,ORDEM 137,732700976587913,14,False,11/05/2026,105,6377,False,https://www.facebook.com/61577907395142/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=732700976587913,4490433564613271,False
44,Lupiê Pratas e Cristais,103747668205930,14,False,26/05/2026,90,446,False,https://www.facebook.com/lupiepratas/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=103747668205930,785691621200868,False
45,Unifahe EaD,656809294186618,14,False,06/05/2026,110,97,False,https://www.facebook.com/61577014854744/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=656809294186618,2206681110124597,False
46,ENEM Action,264465766973999,13,False,16/07/2026,39,41867,False,https://www.facebook.com/enemaction/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=264465766973999,859475453661950,False
47,Larissa Nahas,406046843207856,13,False,10/06/2025,440,459,False,https://www.facebook.com/lari.nahas/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=406046843207856,561772976995425,False
48,Pedro Abib,484657201388716,13,False,14/06/2026,71,50,False,https://www.facebook.com/pedroabibro/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=484657201388716,891391844005906,False
49,SolarMarketbr,103233585882709,13,False,17/04/2026,129,2499,False,https://www.facebook.com/100085715025284/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=103233585882709,1645522686533205,False
50,Caio Fábio Filho,102222022041880,11,False,14/10/2025,314,31615,False,https://www.facebook.com/100068802127244/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=102222022041880,1544705827362664,False
51,Curso Fernanda Pessoa,219264014757901,11,False,15/08/2026,9,20745,False,https://www.facebook.com/Portugues.Fernanda.Pessoa/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=219264014757901,2104874953432245,False
