Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
46,A1 Concursos,457615730771947,64,False,01/12/2025,265,13484,False,https://www.facebook.com/a1concursos/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=457615730771947,1955796635096781,False
47,Alef M Calasancio,423920471513242,63,False,18/04/2026,127,640,False,https://www.facebook.com/alefmarqs/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=423920471513242,4603423169887732,False
48,Hídrica,112611088411008,63,False,19/12/2023,978,5180,False,https://www.facebook.com/hidricaapp/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=112611088411008,3642073192679236,False
49,Ghdrsth,326498763878050,62,False,20/05/2026,95,650,False,https://www.facebook.com/61559544910307/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=326498763878050,1070546252301255,False
50,Luxo de Festa Aluguel,181187575086932,61,False,26/06/2024,788,948,False,https://www.facebook.com/61555639241370/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=181187575086932,760036049813949,False
51,Salon Line,176403812396157,61,False,24/05/2026,91,2811489,False,https://www.facebook.com/salonline/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=176403812396157,1038663495383639,False
52,By Pamella,912080288811187,58,False,02/07/2025,417,421994,False,https://www.facebook.com/bypamellaoficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=912080288811187,841870085025958,False
53,Roberteacher,112786718099028,56,False,16/09/2025,341,2242,False,https://www.facebook.com/mr.robert.teacher/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=112786718099028,3398869620265312,False
54,thenews.cc,112063383868542,53,False,06/05/2026,109,57343,False,https://www.facebook.com/theenews.cc/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=112063383868542,898586946571834,False
55,Dr Leandro Rossetti - Cirurgia Vascular,1554397058002174,47,False,19/04/2026,126,9033,False,https://www.facebook.com/dr.leandrovascular/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1554397058002174,866360999197467,False
56,Drama Explosivo Brasil,1007711412418329,47,False,25/05/2026,90,291,False,https://www.facebook.com/61587085395515/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1007711412418329,834611303052979,False
57,Perfume Shopping O Shopping dos Decants,142362712302948,46,False,23/12/2025,243,1861,False,https://www.facebook.com/perfumeshoppingbr/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=142362712302948,1484508685930878,False
58,Pele de Pêssego ViP,704479672748419,45,False,11/06/2026,73,97,False,https://www.facebook.com/61578574685972/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=704479672748419,997299659730021,False
59,AirBrush,1676844315869073,41,False,17/07/2026,37,167935,False,https://www.facebook.com/juliamoraesyoutube/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1676844315869073,1929162331101921,False
60,Dra. Cláudia Benevides,1564011493912944,41,False,29/05/2026,86,193092,False,https://www.facebook.com/draclaudiabenevides1/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1564011493912944,1503675574125402,False
61,Lushe,104032595724697,41,False,11/07/2026,43,3373,False,https://www.facebook.com/lusheoficialcosmetics/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=104032595724697,1765277081504832,False
62,IMEB,252015874859767,39,False,21/01/2026,214,11301,False,https://www.facebook.com/clinicaimeb/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=252015874859767,1548194620057234,False
63,Loja Industrialismo,105852422604639,38,False,27/02/2025,542,10670,False,https://www.facebook.com/lojaindustrialismo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=105852422604639,1180899583652739,False
