Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Busca Busca,685727837960040,71,False,06/07/2025,414,35080,False,https://www.facebook.com/buscabuscaoficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=685727837960040,1450952059290392,False
2,Cora,186133398136316,47,False,20/01/2026,216,46111,False,https://www.facebook.com/coraoficialbr/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=186133398136316,2174382336432868,False
3,Choquei Famosos,1125419873993729,20,False,19/07/2026,36,28,False,https://www.facebook.com/61590367856464/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1125419873993729,1356541435959253,False
4,Diferentona,102296436225833,17,False,27/06/2026,58,82,False,https://www.facebook.com/100093431253209/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=102296436225833,1038102595344523,False
5,Apollo,605127226012898,17,False,13/07/2026,42,7647,False,https://www.facebook.com/61574287257563/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=605127226012898,906599642472237,False
6,Choquei,1260962593760727,12,False,03/08/2026,21,6,False,https://www.facebook.com/61592013587324/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1260962593760727,977967338587766,False
7,Choquei,978097895397441,11,False,25/07/2026,30,46,False,https://www.facebook.com/61573275886037/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=978097895397441,1572886731164107,False
8,Dra. Jéssica Karine Estética,533901956965792,10,False,04/03/2026,173,905,False,https://www.facebook.com/esteticajessicakarine/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=533901956965792,1468280675010977,False
