Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
1,Rede Condor,212743445416038,100,True,02/03/2026,175,440047,False,https://www.facebook.com/RedeCondor/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=212743445416038,1571211931053431,True
2,Sicredi,133038303390133,100,True,15/04/2026,131,527492,False,https://www.facebook.com/Sicredi/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=133038303390133,1600442998553306,True
3,Brasil Paralelo,301774903545521,100,True,23/12/2025,244,1469997,False,https://www.facebook.com/brasilparalelo/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=301774903545521,1010414311823946,True
4,Bid Master,100488693068873,100,True,08/02/2026,197,923161,False,https://www.facebook.com/100093114919806/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=100488693068873,914970657566930,False
5,Mulher em Forma,107376773956711,100,True,08/05/2026,108,273042,False,https://www.facebook.com/programamulheremforma/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=107376773956711,1470309061027522,False
6,TAG - Experiências Literárias,1549657015260782,78,False,22/05/2026,94,1041504,False,https://www.facebook.com/taglivros/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1549657015260782,984226500977512,True
7,DOK Despachante,203392776346414,49,False,09/01/2026,227,96687,False,https://www.facebook.com/DOKDespachante/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=203392776346414,832830523068029,False
8,Della Via Pneus,152309161479656,32,False,10/08/2024,744,191381,False,https://www.facebook.com/dellaviapneus/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=152309161479656,857271002589261,True
