Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
33,Globoplay,1877364085648468,72,False,02/07/2026,53,3533067,False,https://www.facebook.com/globoplay/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1877364085648468,902136059226140,True
34,Busca Busca,685727837960040,71,False,06/07/2025,414,35080,False,https://www.facebook.com/buscabuscaoficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=685727837960040,1450952059290392,True
35,Unimed Curitiba,425933047433049,66,False,28/07/2025,392,90803,False,https://www.facebook.com/UnimedCuritiba/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=425933047433049,4877014162525252,False
36,Tokio Marine Seguradora,117511355002930,66,False,13/10/2025,315,447544,False,https://www.facebook.com/TokioMarineSeguradora/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=117511355002930,978909294975478,False
37,Chef Mari,1124610190743998,61,False,20/07/2026,35,2321,False,https://www.facebook.com/61590623736207/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1124610190743998,1603319668054686,False
38,Drª. Cecília Ruiz - Cirurgiã Plástica,105794975040167,60,False,06/02/2025,564,319,False,https://www.facebook.com/draceciliaruiz/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=105794975040167,631518009247986,True
39,Bioniq Brasil,885390794657791,59,False,23/04/2026,123,3649,False,https://www.facebook.com/61584252307614/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=885390794657791,1709820140172280,True
40,MQ Professional Hair Styling,449323408507344,59,False,20/01/2026,216,802926,False,https://www.facebook.com/MQProfessionalHairStyling/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=449323408507344,2725409137794219,True
41,Quer Seguros Rio,110282021785976,50,False,04/10/2025,324,800,False,https://www.facebook.com/100084356808905/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=110282021785976,4212961252296336,True
42,Sos Human Help,957835437405168,50,False,30/07/2026,25,16307,False,https://www.facebook.com/soshumanhelp/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=957835437405168,1612485333553088,True
