Rank,Page Name,Page ID,Active Ads Found,Count Capped,Oldest Active Ad,Days Running,Page Likes,Verified,Facebook URL,Library URL,Sample Ad ID,From Cache
36,Sanctorium Católico,118802374540368,20,False,23/11/2025,274,3911,False,https://www.facebook.com/100092283355567/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=118802374540368,799526836485080,False
37,Meu Milagre,464505353422902,19,False,19/03/2026,158,2347,False,https://www.facebook.com/61571846935184/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=464505353422902,1899257694116040,False
38,Professor Jotta Rocha,244646285402158,16,False,07/07/2025,413,181322,False,https://www.facebook.com/61557114362304/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=244646285402158,1429268641552534,False
39,Comunidade Evangélica Maranata,1462869807297902,16,False,26/01/2026,210,932440,False,https://www.facebook.com/comunidademaranatasaltooficial/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=1462869807297902,1602174657914822,False
40,Infância Católica,585466684661216,15,False,06/08/2026,18,454,False,https://www.facebook.com/61576986293478/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=585466684661216,930541016034951,False
41,Yanni Arte,101561698622531,15,False,31/01/2026,205,1514,False,https://www.facebook.com/yanniarte/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=101561698622531,1440170184425932,False
42,Sync.More,104880650901432,14,False,14/09/2025,344,8450,False,https://www.facebook.com/syncmorejoias/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=104880650901432,2033083477527712,False
43,iamleticiacarvalhoo,445808895280857,13,False,08/03/2026,169,0,False,https://www.instagram.com/_u/iamleticiacarvalhoo,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=445808895280857,932701683015106,False
44,Método OBA - O Básico Aprova,106427362358473,12,False,02/11/2025,295,554,False,https://www.facebook.com/obasicoaprova/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=106427362358473,2112989576203493,False
45,Reír con nosotras 3,108043912049982,11,False,15/03/2026,162,995,False,https://www.facebook.com/100085708657965/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=108043912049982,1715773793122642,False
46,Dr. Fábio Lucena - Cirurgia Plástica,411025922979075,11,False,27/06/2023,1154,904,False,https://www.facebook.com/drfabiolucena/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=411025922979075,575762747820082,False
47,Comunidade devotas de Maria,107815304299794,11,False,15/02/2026,190,568,False,https://www.facebook.com/100068420588969/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=107815304299794,1489573969452037,False
48,Instituto Católico de Música,202610182944981,11,False,22/02/2026,183,9711,False,https://www.facebook.com/institutocatolicodemusica/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=202610182944981,1501315411673651,False
49,Consultoria em tecnologia da informação,790772060795923,10,False,11/02/2026,194,160,False,https://www.facebook.com/61583614723346/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=BR&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=790772060795923,1651820966240528,False
